Algorithm,InputSize,Time
increasing_array,32,0.000037
increasing_array,64,0.000050
increasing_array,128,0.000140
increasing_array,256,0.000230
increasing_array,512,0.000468
increasing_array,1024,0.001086
increasing_array,2048,0.002699
increasing_array,4096,0.006188
increasing_array,8192,0.011250
increasing_array,16384,0.023321
increasing_array,32768,0.049620

