Algorithm,InputSize,Time
constant_array,32,0.000020
constant_array,64,0.000107
constant_array,128,0.000306
constant_array,256,0.000827
constant_array,512,0.004381
constant_array,1024,0.021721
constant_array,2048,0.077755
constant_array,4096,0.295911
constant_array,8192,1.172965
constant_array,16384,4.801086
constant_array,32768,18.791655

