Algorithm,InputSize,Time
random_array,32,0.000034
random_array,64,0.000067
random_array,128,0.000143
random_array,256,0.000342
random_array,512,0.000800
random_array,1024,0.001884
random_array,2048,0.005883
random_array,4096,0.009952
random_array,8192,0.025263
random_array,16384,0.050969
random_array,32768,0.108223

