Algorithm,InputSize,Time
decreasing_array,32,0.000029
decreasing_array,64,0.000161
decreasing_array,128,0.000094
decreasing_array,256,0.000329
decreasing_array,512,0.000524
decreasing_array,1024,0.001126
decreasing_array,2048,0.002574
decreasing_array,4096,0.006213
decreasing_array,8192,0.012742
decreasing_array,16384,0.025898
decreasing_array,32768,0.050972

