Algorithm,InputSize,Time
increasing_array,32,0.000009
increasing_array,64,0.000009
increasing_array,128,0.000016
increasing_array,256,0.000026
increasing_array,512,0.000106
increasing_array,1024,0.000187
increasing_array,2048,0.000324
increasing_array,4096,0.000644
increasing_array,8192,0.001652
increasing_array,16384,0.003444
increasing_array,32768,0.007875

