Algorithm,InputSize,Time
decreasing_array,32,0.000055
decreasing_array,64,0.000109
decreasing_array,128,0.000417
decreasing_array,256,0.001643
decreasing_array,512,0.009369
decreasing_array,1024,0.036569
decreasing_array,2048,0.148265
decreasing_array,4096,0.635116
decreasing_array,8192,2.542260
decreasing_array,16384,10.027825
decreasing_array,32768,40.833347

