Algorithm,InputSize,Time
increasing_array,32,0.000033
increasing_array,64,0.000064
increasing_array,128,0.000147
increasing_array,256,0.000348
increasing_array,512,0.000829
increasing_array,1024,0.001950
increasing_array,2048,0.004774
increasing_array,4096,0.010199
increasing_array,8192,0.024611
increasing_array,16384,0.051139
increasing_array,32768,0.108101

