Algorithm,InputSize,Time
constant_array,32,0.000014
constant_array,64,0.000013
constant_array,128,0.000025
constant_array,256,0.000055
constant_array,512,0.000209
constant_array,1024,0.000359
constant_array,2048,0.000824
constant_array,4096,0.001938
constant_array,8192,0.005289
constant_array,16384,0.008778
constant_array,32768,0.025088

