Algorithm,InputSize,Time
increasing_array,32,0.000071
increasing_array,64,0.000149
increasing_array,128,0.000322
increasing_array,256,0.001339
increasing_array,512,0.005436
increasing_array,1024,0.025085
increasing_array,2048,0.099513
increasing_array,4096,0.395411
increasing_array,8192,1.570907
increasing_array,16384,6.504425
increasing_array,32768,25.253984

