Algorithm,InputSize,Time
a_shaped_array,32,0.000052
a_shaped_array,64,0.000054
a_shaped_array,128,0.000133
a_shaped_array,256,0.000229
a_shaped_array,512,0.000556
a_shaped_array,1024,0.001243
a_shaped_array,2048,0.003042
a_shaped_array,4096,0.007244
a_shaped_array,8192,0.014625
a_shaped_array,16384,0.031717
a_shaped_array,32768,0.060469

