Algorithm,InputSize,Time
constant_array,32,0.000008
constant_array,64,0.000010
constant_array,128,0.000015
constant_array,256,0.000029
constant_array,512,0.000134
constant_array,1024,0.000216
constant_array,2048,0.000291
constant_array,4096,0.001444
constant_array,8192,0.001766
constant_array,16384,0.003024
constant_array,32768,0.005701

