Algorithm,InputSize,Time
constant_array,32,0.000015
constant_array,64,0.000017
constant_array,128,0.000029
constant_array,256,0.000138
constant_array,512,0.000192
constant_array,1024,0.000270
constant_array,2048,0.000494
constant_array,4096,0.000984
constant_array,8192,0.003114
constant_array,16384,0.004626
constant_array,32768,0.010439

