Algorithm,InputSize,Time
random_array,32,0.000020
random_array,64,0.000070
random_array,128,0.000137
random_array,256,0.000337
random_array,512,0.000438
random_array,1024,0.000820
random_array,2048,0.002263
random_array,4096,0.005400
random_array,8192,0.011819
random_array,16384,0.024736
random_array,32768,0.056049

