Algorithm,InputSize,Time
a_shaped_array,32,0.000032
a_shaped_array,64,0.000060
a_shaped_array,128,0.000120
a_shaped_array,256,0.000317
a_shaped_array,512,0.000611
a_shaped_array,1024,0.001592
a_shaped_array,2048,0.004019
a_shaped_array,4096,0.009916
a_shaped_array,8192,0.023932
a_shaped_array,16384,0.051619
a_shaped_array,32768,0.113040

