Algorithm,InputSize,Time
increasing_array,32,0.000021
increasing_array,64,0.000092
increasing_array,128,0.000226
increasing_array,256,0.000764
increasing_array,512,0.004102
increasing_array,1024,0.020357
increasing_array,2048,0.083454
increasing_array,4096,0.307027
increasing_array,8192,1.256293
increasing_array,16384,5.047575
increasing_array,32768,19.445052

