Algorithm,InputSize,Time
a_shaped_array,32,0.000041
a_shaped_array,64,0.000123
a_shaped_array,128,0.000165
a_shaped_array,256,0.000375
a_shaped_array,512,0.000782
a_shaped_array,1024,0.001855
a_shaped_array,2048,0.004359
a_shaped_array,4096,0.011132
a_shaped_array,8192,0.023853
a_shaped_array,16384,0.049007
a_shaped_array,32768,0.100593

