Algorithm,InputSize,Time
increasing_array,32,0.000017
increasing_array,64,0.000040
increasing_array,128,0.000036
increasing_array,256,0.000099
increasing_array,512,0.000192
increasing_array,1024,0.000616
increasing_array,2048,0.001467
increasing_array,4096,0.002730
increasing_array,8192,0.005190
increasing_array,16384,0.012562
increasing_array,32768,0.026066

