Algorithm,InputSize,Time
a_shaped_array,32,0.000025
a_shaped_array,64,0.000105
a_shaped_array,128,0.000352
a_shaped_array,256,0.000808
a_shaped_array,512,0.004713
a_shaped_array,1024,0.022442
a_shaped_array,2048,0.084194
a_shaped_array,4096,0.324901
a_shaped_array,8192,1.240258
a_shaped_array,16384,5.004197
a_shaped_array,32768,19.779619

