Algorithm,InputSize,Time
constant_array,32,0.000049
constant_array,64,0.000112
constant_array,128,0.000169
constant_array,256,0.000691
constant_array,512,0.002741
constant_array,1024,0.016896
constant_array,2048,0.029436
constant_array,4096,0.167320
constant_array,8192,1.392569
constant_array,16384,1.667441
constant_array,32768,19.068947

